name,ticker,industry,NIFTY closing,Date,Market Capitalisation,EPS,P/E,P/B,Beta,Industry PE,Industry PB,Risk_Score,risk,alt-score
Karur Vysya Bank Ltd.,KARURVYSYA,Banks,17359.75,31-03-2023,83734.38,12.91,8.09,0.98,1.61,12.5,1.5,1.380466667,Non risky,0.048380579
Kellton Tech Solutions Ltd.,KELLTONTEC,IT - Software,17359.75,31-03-2023,4252.18,0.97,45.33,2.82,1.51,30.0,5.0,-0.488,Moderately risky,3.112677749
Kennametal India Ltd.,KENNAMET,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,47729.04,43.86,49.51,6.79,0.88,17.5,2.5,0.960857143,Non risky,4.373100818
Kesoram Industries Ltd.,KESORAMIND,Cement,17359.75,31-03-2023,18204.89,0.39,150.95,3.08,1.63,17.5,2.5,-8.448714286,Highly risky,1.309311281
Kewal Kiran Clothing Ltd.,KKCL,Readymade Garments/ Apparells,17359.75,31-03-2023,25753.16,19.36,21.59,4.7,0.95,18.0,2.5,0.906555556,Non risky,4.659189992
Keynote Financial Services Ltd.,KEYFINSERV,Finance,17359.75,31-03-2023,577.96,0.73,113.33,0.94,0.82,15.0,1.8,-5.824555556,Highly risky,0.506885339
Khadim India Ltd.,KHADIM,Leather,17359.75,31-03-2023,3314.5,5.74,32.15,1.47,1.65,15.0,2.0,-0.954333333,Moderately risky,1.715505959
Khaitan (India) Ltd.,KHAITANLTD,Trading,17359.75,31-03-2023,202.35,1.43,29.76,1.11,0.98,18.5,2.5,0.110351351,Moderately risky,1.097846616
Khandwala Securities Ltd.,KHANDSE,Finance,17359.75,31-03-2023,344.74,0.29,78.35,1.03,0.44,15.0,1.8,-3.206555556,Highly risky,0.458760139
Kilitch Drugs (India) Ltd.,KILITCH,Pharmaceuticals,17359.75,31-03-2023,2169.06,9.29,14.98,1.13,0.98,25.0,3.5,2.026942857,Non risky,1.570704888
Kingfa Science & Technology (India) Ltd.,KINGFA,Plastic products,17359.75,31-03-2023,15962.19,67.11,19.64,3.43,1.25,15.5,2.0,5.478903226,Investment Worthy,3.407661388
Kirloskar Brothers Ltd.,KIRLOSBROS,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,32577.51,21.12,19.43,2.6,1.32,17.5,2.5,1.641714286,Non risky,2.902909969
Kirloskar Industries Ltd.,KIRLOSIND,Finance,17359.75,31-03-2023,24036.66,73.59,33.04,1.1,1.06,15.0,1.8,6.485222222,Investment Worthy,-0.08532424
Kirloskar Oil Engines Ltd.,KIRLOSENG,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,57332.95,17.97,22.05,2.46,1.24,17.5,2.5,1.313,Non risky,2.701520977
Kitex Garments Ltd.,KITEX,Readymade Garments/ Apparells,17359.75,31-03-2023,9120.48,8.94,15.35,1.01,1.43,18.0,2.5,1.207222222,Non risky,1.84898835
Kokuyo Camlin Ltd.,KOKUYOCMLN,Printing & Stationery,17359.75,31-03-2023,6865.8,2.25,30.41,2.61,1.39,15.0,2.0,-1.497333333,Moderately risky,4.123067551
Kopran Ltd.,KOPRAN,Pharmaceuticals,17359.75,31-03-2023,5327.27,6.47,17.07,1.35,1.24,25.0,3.5,1.338485714,Non risky,1.978804412
Kotak Mahindra Bank Ltd.,KOTAKBANK,Banks,17359.75,31-03-2023,3442404.57,52.58,32.96,4.15,0.86,12.5,1.5,1.994533333,Non risky,0.406359117
Kothari Petrochemicals Ltd.,KOTHARIPET,Petrochemicals,17359.75,31-03-2023,3321.88,6.48,8.71,1.73,1.33,12.0,1.5,0.438833333,Moderately risky,4.047586238
Kothari Products Ltd.,KOTHARIPRO,Trading,17359.75,31-03-2023,3405.18,1.11,103.19,0.36,1.68,18.5,2.5,-4.290837838,Highly risky,0.704497037
Kshitij Polyline Ltd.,KSHITIJPOL,Plastic products,17359.75,31-03-2023,873.75,0.09,194.17,4.63,0.59,15.5,2.0,-12.42309677,Highly risky,1.612512315
Kuantum Papers Ltd.,KUANTUM,Paper,17359.75,31-03-2023,10589.44,17.29,7.02,1.1,1.37,13.5,1.6,2.1515,Non risky,2.070512488
Lagnam Spintex Ltd.,LAGNAM,Textiles,17359.75,31-03-2023,872.85,5.52,8.95,0.93,0.87,15.0,1.8,1.568666667,Non risky,1.204958709
Lakshmi Machine Works Ltd.,LAXMIMACH,Engineering,17359.75,31-03-2023,106640.91,306.07,32.61,4.64,0.99,16.5,2.2,28.53154545,Investment Worthy,3.464165604
Lambodhara Textiles Ltd.,LAMBODHARA,Textiles,17359.75,31-03-2023,1468.43,16.71,8.47,1.48,1.68,15.0,1.8,1.604111111,Non risky,1.959107124
Larsen & Toubro Ltd.,LT,Infrastructure Developers & Operators,17359.75,31-03-2023,3041744.56,51.48,42.04,4.25,1.12,20.0,3.0,3.509333333,Investment Worthy,1.49911151
Laurus Labs Ltd.,LAURUSLABS,Pharmaceuticals,17359.75,31-03-2023,157797.79,14.09,20.79,3.89,0.91,25.0,3.5,1.555971429,Non risky,2.72287207
Lemon Tree Hotels Ltd.,LEMONTREE,Hotels & Restaurants,17359.75,31-03-2023,61201.04,1.01,76.15,5.72,1.25,20.0,3.0,-3.863166667,Highly risky,3.885957983
Liberty Shoes Ltd.,LIBERTSHOE,Leather,17359.75,31-03-2023,3316.84,7.88,24.7,1.68,1.34,15.0,2.0,-0.038666667,Moderately risky,1.770610542
Lincoln Pharmaceuticals Ltd.,LINCOLN,Pharmaceuticals,17359.75,31-03-2023,6795.09,37.01,9.17,1.35,1.14,25.0,3.5,4.808485714,Investment Worthy,1.963585825
Linde India Ltd.,LINDEINDIA,Chemicals,17359.75,31-03-2023,343682.63,46.89,85.95,11.04,1.08,20.0,3.5,-0.842785714,Moderately risky,6.680098895
Lokesh Machines Ltd.,LOKESHMACH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,1968.64,4.51,24.36,1.24,1.43,17.5,2.5,0.133,Moderately risky,1.760254086
Lumax Auto Technologies Ltd.,LUMAXTECH,Auto Ancillaries,17359.75,31-03-2023,18327.61,11.51,23.36,3.14,1.71,18.5,2.4,-0.130036036,Moderately risky,2.638950106
Lumax Industries Ltd.,LUMAXIND,Auto Ancillaries,17359.75,31-03-2023,16538.47,76.51,23.12,3.44,1.15,18.5,2.4,6.817936937,Investment Worthy,2.439127773
Lupin Ltd.,LUPIN,Pharmaceuticals,17359.75,31-03-2023,295009.9,9.29,69.82,1.6,0.61,25.0,3.5,0.069057143,Moderately risky,1.650484434
Lux Industries Ltd.,LUXIND,Textiles,17359.75,31-03-2023,34820.2,48.95,23.72,2.38,1.12,15.0,1.8,3.871444444,Investment Worthy,3.067535461
Lypsa Gems & Jewellery Ltd.,LYPSAGEMS,"Diamond, Gems and Jewellery",17359.75,31-03-2023,109.09,0.01,363.64,0.34,1.38,20.0,3.5,-16.65814286,Highly risky,0.373815682
Maan Aluminium Ltd.,MAANALU,Non Ferrous Metals,17359.75,31-03-2023,2354.04,37.02,4.7,1.81,1.69,14.0,1.5,3.469619048,Investment Worthy,6.108617428
Madhucon Projects Ltd.,MADHUCON,Construction,17359.75,31-03-2023,250.9,0.6,5.63,0.05,1.42,17.0,2.2,1.286096257,Non risky,0.712047067
Magadh Sugar & Energy Ltd.,MAGADSUGAR,Sugar,17359.75,31-03-2023,4498.05,35.28,9.05,0.7,1.45,12.0,1.2,3.7405,Investment Worthy,1.413947978
Magnum Ventures Ltd.,MAGNUM,Paper,17359.75,31-03-2023,1225.16,6.7,4.35,7.61,1.08,13.5,1.6,-2.488472222,Highly risky,1.96092429
Mahanagar Gas Ltd.,MGL,Gas Distribution,17359.75,31-03-2023,97143.01,80.53,12.21,2.35,0.99,15.0,1.8,7.943444444,Investment Worthy,2.261983559
Maharashtra Scooters Ltd.,MAHSCOOTER,Finance,17359.75,31-03-2023,48381.13,150.69,28.09,0.25,1.33,15.0,1.8,14.72744444,Investment Worthy,-0.008149923
Maharashtra Seamless Ltd.,MAHSEAMLES,Steel,17359.75,31-03-2023,47911.43,52.97,6.75,1.02,1.08,15.5,1.9,6.244674024,Investment Worthy,2.151661939
Maheshwari Logistics Ltd.,MAHESHWARI,Logistics,17359.75,31-03-2023,2357.42,4.62,17.25,1.41,0.58,18.0,2.2,1.282757576,Non risky,3.046916853
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Finance,17359.75,31-03-2023,286210.51,6.71,34.55,1.67,1.75,15.0,1.8,-1.310111111,Moderately risky,0.672825546
Mahindra & Mahindra Ltd.,M&M,Automobile,17359.75,31-03-2023,1440876.86,53.52,21.65,3.32,1.32,14.0,1.7,3.532630252,Investment Worthy,2.377417639
Mahindra Lifespace Developers Ltd.,MAHICKRA,Chemicals,17359.75,31-03-2023,54458.32,1.74,202.82,3.38,1.07,20.0,3.5,-9.002714286,Highly risky,1.819712618
Mahindra Logistics Ltd.,MAHLOG,Logistics,17359.75,31-03-2023,25501.46,7.53,47.07,4.06,1.23,18.0,2.2,-1.937454545,Highly risky,3.077514122
Maithan Alloys Ltd.,MAITHANALL,Mining & Mineral products,17359.75,31-03-2023,23289.24,181.52,4.41,0.85,1.4,15.0,2.0,19.033,Investment Worthy,-0.57279316
Man Industries (India) Ltd.,MANINDS,Steel,17359.75,31-03-2023,5595.59,11.19,8.32,0.56,1.48,15.5,1.9,1.807488964,Non risky,1.58892215
Man Infraconstruction Ltd.,MANINFRA,Construction,17359.75,31-03-2023,25319.28,4.49,15.2,2.23,1.44,17.0,2.2,0.101245989,Moderately risky,3.218056429
Manaksia Ltd.,MANAKSIA,Non Ferrous Metals,17359.75,31-03-2023,7005.59,14.84,7.21,3.88,0.95,14.0,1.5,0.432333333,Moderately risky,4.343818639
Manaksia Steels Ltd.,MANAKSTEEL,Steel,17359.75,31-03-2023,2326.46,1.92,18.51,0.83,1.44,15.5,1.9,0.120964346,Moderately risky,2.011219893
Manali Petrochemicals Ltd.,MANALIPETC,Petrochemicals,17359.75,31-03-2023,10371.55,2.86,21.12,1.04,1.7,12.0,1.5,-0.867333333,Moderately risky,2.851050957
Manappuram Finance Ltd.,MANAPPURAM,Finance,17359.75,31-03-2023,104699.03,14.61,8.47,1.17,1.47,15.0,1.8,1.776333333,Non risky,0.635297335
Mangalam Cement Ltd.,MANGALAM,Pharmaceuticals,17359.75,31-03-2023,7297.78,7.15,37.12,0.97,1.26,25.0,3.5,0.693057143,Moderately risky,1.107844979
Mangalam Global Enterprise Ltd.,MGEL,Edible Oil,17359.75,31-03-2023,2009.06,0.86,16.83,1.57,0.27,15.0,1.7,0.770470588,Non risky,5.749088623
Marathon Nextgen Realty Ltd.,MARATHON,Realty,17359.75,31-03-2023,12801.66,19.37,14.27,1.63,1.43,12.5,1.5,1.278733333,Non risky,1.582609598
Marico Ltd.,MARICO,FMCG,17359.75,31-03-2023,620421.88,9.12,52.62,16.87,0.52,30.0,6.0,-1.173666667,Moderately risky,9.930064323
Marine Electricals (India) Ltd.,MARINE,Capital Goods - Electrical Equipment,17359.75,31-03-2023,4397.55,1.57,22.82,2.72,0.51,18.5,2.3,0.230877791,Moderately risky,2.977274341
Marksans Pharma Ltd.,MARKSANS,Pharmaceuticals,17359.75,31-03-2023,31902.73,2.25,31.3,2.87,1.61,25.0,3.5,-0.457,Moderately risky,2.617283766
Maruti Suzuki India Ltd.,MARUTI,Automobile,17359.75,31-03-2023,2504893.17,266.77,31.08,4.15,1.16,14.0,1.7,23.85582353,Investment Worthy,3.954899872
Mask Investments Ltd.,MASKINVEST,Finance,17359.75,31-03-2023,133.5,0.2,222.51,0.14,0.15,15.0,1.8,-12.04177778,Highly risky,-0.091494346
Mastek Ltd.,MASTEK,IT - Software,17359.75,31-03-2023,47038.76,26.94,57.2,6.39,1.7,30.0,5.0,0.809333333,Non risky,6.362979207
Mawana Sugars Ltd.,MAWANASUG,Sugar,17359.75,31-03-2023,3524.43,4.53,19.89,0.84,1.36,12.0,1.2,-0.2645,Moderately risky,1.656732164
Max Financial Services Ltd.,MFSL,Finance,17359.75,31-03-2023,219147.88,0.2,3218.03,3.24,0.93,15.0,1.8,-214.2453333,Highly risky,2.818046671
Mayur Uniquoters Ltd.,MAYURUNIQ,Plastic products,17359.75,31-03-2023,18462.29,22.86,18.38,2.44,1.16,15.5,2.0,1.720193548,Non risky,2.520068417
Mazda Ltd.,MAZDA,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,2482.1,67.64,9.16,1.34,1.15,17.5,2.5,7.554571429,Investment Worthy,2.122757268
Megasoft Ltd.,MEGASOFT,IT - Software,17359.75,31-03-2023,1630.32,1.41,15.63,0.97,1.0,30.0,5.0,1.426,Non risky,1.550280877
Menon Bearings Ltd.,MENONBE,Auto Ancillaries,17359.75,31-03-2023,5405.06,5.81,16.61,4.05,1.07,18.5,2.4,-0.074337838,Moderately risky,4.27983722
Metropolis Healthcare Ltd.,METROPOLIS,Healthcare,17359.75,31-03-2023,63926.27,26.05,47.92,6.83,0.77,22.0,3.0,0.380151515,Moderately risky,3.251984099
Minda Corporation Ltd.,MINDACORP,Auto Ancillaries,17359.75,31-03-2023,51437.94,11.1,19.39,3.73,1.62,18.5,2.4,-0.112274775,Moderately risky,3.024600342
Mindteck (India) Ltd.,MINDTECK,IT - Software,17359.75,31-03-2023,2614.94,5.66,18.29,1.8,1.48,30.0,5.0,1.116333333,Non risky,2.092449083
Mirza International Ltd.,MIRZAINT,Leather,17359.75,31-03-2023,4816.34,1.65,21.14,1.06,1.37,15.0,2.0,-0.144333333,Moderately risky,1.112756264
Mishra Dhatu Nigam Ltd.,MIDHANI,Steel,17359.75,31-03-2023,34592.33,8.33,22.17,2.69,1.24,15.5,1.9,-0.253112054,Moderately risky,2.034048889
Mittal Life Style Ltd.,MITTAL,Textiles,17359.75,31-03-2023,285.58,0.19,51.0,0.92,0.85,15.0,1.8,-1.742111111,Highly risky,3.814900561
Modi Rubber Ltd.,MODIRUBBER,Tyres,17359.75,31-03-2023,1406.03,3.45,16.27,0.39,0.49,16.0,2.0,1.643125,Non risky,0.661937338
Moksh Ornaments Ltd.,MOKSH,"Diamond, Gems and Jewellery",17359.75,31-03-2023,477.57,1.14,7.79,0.94,0.56,20.0,3.5,1.895928571,Non risky,7.616930049
Mold-Tek Packaging Ltd.,MOLDTKPAC,Plastic products,17359.75,31-03-2023,29956.81,23.12,39.06,5.68,1.03,15.5,2.0,-1.078,Moderately risky,4.770093402
Mold-Tek Technologies Ltd.,MOLDTECH,Engineering,17359.75,31-03-2023,6894.01,10.3,23.71,6.95,0.95,16.5,2.2,-1.516060606,Moderately risky,6.067177419
Monte Carlo Fashions Ltd.,MONTECARLO,Textiles,17359.75,31-03-2023,12890.16,60.67,10.25,1.66,1.22,15.0,1.8,6.241444444,Investment Worthy,1.690593288
Morepen Laboratories Ltd.,MOREPENLAB,Pharmaceuticals,17359.75,31-03-2023,13188.15,0.9,28.52,1.73,1.36,25.0,3.5,0.094914286,Moderately risky,2.119569858
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Finance,17359.75,31-03-2023,90292.13,38.3,15.93,2.03,1.12,15.0,1.8,3.520222222,Investment Worthy,0.509429529
Mukta Arts Ltd.,MUKTAARTS,Entertainment,17359.75,31-03-2023,1001.65,3.84,11.55,0.56,1.61,25.0,4.0,1.172,Non risky,1.020000796
Munjal Showa Ltd.,MUNJALSHOW,Auto Ancillaries,17359.75,31-03-2023,3407.57,3.42,24.91,0.52,1.45,18.5,2.4,0.328846847,Moderately risky,1.994025552
Murudeshwar Ceramics Ltd.,MURUDCERA,Ceramic Products,17359.75,31-03-2023,1730.86,1.14,26.23,0.49,1.63,15.0,2.0,-0.509666667,Moderately risky,0.85056958
Muthoot Capital Services Ltd.,MUTHOOTCAP,Finance,17359.75,31-03-2023,4233.59,46.79,5.5,0.87,1.08,15.0,1.8,5.749,Investment Worthy,0.584141631
Muthoot Finance Ltd.,MUTHOOTFIN,Finance,17359.75,31-03-2023,393399.19,86.32,11.35,1.87,1.01,15.0,1.8,8.826444444,Investment Worthy,0.813989593
Nahar Industrial Enterprises Ltd.,NAHARINDUS,Textiles,17359.75,31-03-2023,3910.11,12.28,7.37,0.43,1.46,15.0,1.8,2.037777778,Non risky,1.443876276
Nahar Poly Films Ltd.,NAHARPOLY,Packaging,17359.75,31-03-2023,5620.81,12.94,17.67,1.17,1.43,17.0,2.3,1.315892583,Non risky,1.24206151
Nahar Spinning Mills Ltd.,NAHARSPING,Textiles,17359.75,31-03-2023,8666.49,29.46,8.16,0.56,1.55,15.0,1.8,3.540888889,Investment Worthy,0.717103484
Narayana Hrudayalaya Ltd.,NH,Healthcare,17359.75,31-03-2023,158205.92,12.36,62.64,10.77,0.68,22.0,3.0,-2.881272727,Highly risky,6.010482998
Natco Pharma Ltd.,NATCOPHARM,Pharmaceuticals,17359.75,31-03-2023,102794.54,34.92,16.13,2.18,0.7,25.0,3.5,4.523942857,Investment Worthy,2.599745568
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Miscellaneous,17359.75,31-03-2023,2684.32,18.49,7.64,0.47,1.56,18.5,2.5,2.688027027,Non risky,0.752525051
National Fertilizers Ltd.,NFL,Fertilizers,17359.75,31-03-2023,35542.41,9.23,7.85,1.3,1.41,12.0,1.4,0.930261905,Non risky,1.654209279
Navkar Corporation Ltd.,NAVKARCORP,Miscellaneous,17359.75,31-03-2023,7962.46,3.64,14.55,0.41,1.93,18.5,2.5,0.483513514,Moderately risky,0.583226098
Navneet Education Ltd.,NAVNETEDUL,Media - Print/Television/Radio,17359.75,31-03-2023,21569.43,10.13,9.42,1.6,0.98,18.0,2.5,1.869666667,Non risky,2.596148092
Nelcast Ltd.,NELCAST,"Castings, Forgings & Fastners",17359.75,31-03-2023,7725.71,3.46,25.65,1.65,1.65,16.0,2.0,-0.732125,Moderately risky,2.181646257
Neogen Chemicals Ltd.,NEOGEN,Chemicals,17359.75,31-03-2023,32076.95,20.07,64.09,6.65,0.89,20.0,3.5,-0.9875,Moderately risky,3.318613184
Nesco Ltd.,NESCO,Miscellaneous,17359.75,31-03-2023,36477.12,43.77,11.83,1.86,0.88,18.5,2.5,5.113540541,Investment Worthy,1.904612273
Nestle India Ltd.,NESTLEIND,FMCG,17359.75,31-03-2023,1899823.48,266.64,73.9,59.45,0.55,30.0,6.0,16.74233333,Investment Worthy,16.39654163
Neuland Laboratories Ltd.,NEULANDLAB,Pharmaceuticals,17359.75,31-03-2023,23145.76,122.07,14.78,2.34,1.19,25.0,3.5,12.75722857,Investment Worthy,3.044013931
New Delhi Television Ltd.,NDTV,Media - Print/Television/Radio,17359.75,31-03-2023,12359.14,2.02,94.85,3.31,0.72,18.0,2.5,-4.111444444,Highly risky,1.531387169
Newgen Software Technologies Ltd.,NEWGEN,IT - Software,17359.75,31-03-2023,31529.03,22.83,19.74,3.42,1.06,30.0,5.0,2.881,Non risky,3.213935147
Nila Infrastructures Ltd.,NILAINFRA,Construction,17359.75,31-03-2023,1831.58,0.04,103.48,1.24,1.75,17.0,2.2,-5.396695187,Highly risky,0.613233899
Nilkamal Ltd.,NILKAMAL,Plastic products,17359.75,31-03-2023,26204.7,77.79,22.57,2.09,1.11,15.5,2.0,7.167870968,Investment Worthy,2.931773953
Nitin Spinners Ltd.,NITINSPIN,Textiles,17359.75,31-03-2023,12663.56,28.89,7.8,1.23,1.45,15.0,1.8,3.235666667,Investment Worthy,1.308707711
Norben Tea & Exports Ltd.,NORBTEAEXP,Plantation & Plantation Products,17359.75,31-03-2023,94.0,0.18,44.76,0.63,0.43,16.0,2.0,-0.5245,Moderately risky,0.924958075
Nucleus Software Exports Ltd.,NUCLEUS,IT - Software,17359.75,31-03-2023,17116.19,48.39,13.21,2.91,0.94,30.0,5.0,5.876666667,Investment Worthy,3.14609676
Oberoi Realty Ltd.,OBEROIRLTY,Realty,17359.75,31-03-2023,306371.24,19.42,43.4,4.0,1.11,12.5,1.5,-2.306666667,Highly risky,2.438635446
Oil India Ltd.,OIL,Crude Oil & Natural Gas,17359.75,31-03-2023,272890.57,67.13,3.75,0.79,0.89,12.0,1.5,7.983833333,Investment Worthy,1.135631654
Olectra Greentech Ltd.,OLECTRA,Telecomm Equipment & Infra Services,17359.75,31-03-2023,50828.5,8.61,71.88,5.99,1.61,14.0,1.8,-6.211063492,Highly risky,4.846654821
Onelife Capital Advisors Ltd.,ONELIFECAP,Finance,17359.75,31-03-2023,176.35,0.01,1763.52,0.16,1.13,15.0,1.8,-115.7858889,Highly risky,0.244335339
Onward Technologies Ltd.,ONWARDTEC,IT - Software,17359.75,31-03-2023,6431.72,6.45,44.73,3.99,1.18,30.0,5.0,0.176,Moderately risky,5.141432232
Optiemus Infracom Ltd.,OPTIEMUS,Trading,17359.75,31-03-2023,17669.41,1.08,189.99,4.31,1.36,18.5,2.5,-10.24572973,Highly risky,3.923743558
Oracle Financial Services Software Ltd.,OFSS,IT - Software,17359.75,31-03-2023,281978.79,205.16,15.91,4.71,0.73,30.0,5.0,21.31366667,Investment Worthy,3.645203596
Orbit Exports Ltd.,ORBTEXP,Textiles,17359.75,31-03-2023,3137.18,11.5,10.12,1.56,1.03,15.0,1.8,1.578666667,Non risky,2.143697336
Orient Bell Ltd.,ORIENTBELL,Ceramic Products,17359.75,31-03-2023,7315.97,9.35,54.03,2.39,1.11,15.0,2.0,-1.972,Highly risky,2.291458392
Orient Cement Ltd.,ORIENTCEM,Cement,17359.75,31-03-2023,22525.32,5.58,19.71,1.4,1.45,17.5,2.5,0.421714286,Moderately risky,1.645117871
Orient Electric Ltd.,ORIENTELEC,Consumer Durables,17359.75,31-03-2023,57515.94,2.37,113.92,9.84,0.94,20.0,2.5,-7.335,Highly risky,3.987132387
Oriental Aromatics Ltd.,OAL,Chemicals,17359.75,31-03-2023,11824.18,5.62,62.5,1.89,1.18,20.0,3.5,-1.283,Moderately risky,1.58507621
Oriental Carbon & Chemicals Ltd.,OCCL,Chemicals,17359.75,31-03-2023,6695.36,44.7,14.99,1.13,1.05,20.0,3.5,5.347642857,Investment Worthy,1.216715621
Oriental Hotels Ltd.,ORIENTHOT,Hotels & Restaurants,17359.75,31-03-2023,14073.62,3.17,24.87,4.38,1.3,20.0,3.0,-0.6865,Moderately risky,2.006635541
Oswal Agro Mills Ltd.,OSWALAGRO,Realty,17359.75,31-03-2023,3449.83,0.75,34.06,0.57,1.38,12.5,1.5,-1.4098,Moderately risky,0.024008662
Page Industries Ltd.,PAGEIND,Readymade Garments/ Apparells,17359.75,31-03-2023,422768.63,509.34,74.42,30.84,0.83,18.0,2.5,36.63355556,Investment Worthy,11.75980166
Paisalo Digital Ltd.,PAISALO,Finance,17359.75,31-03-2023,23663.46,2.1,25.1,2.06,0.96,15.0,1.8,-0.567777778,Moderately risky,0.882866263
Palash Securities Ltd.,PALASHSECU,Finance,17359.75,31-03-2023,990.81,4.23,23.42,3.27,0.81,15.0,1.8,-0.765,Moderately risky,1.989442136
Palred Technologies Ltd.,PALREDTEC,IT - Software,17359.75,31-03-2023,1672.8,1.41,96.69,2.59,1.08,30.0,5.0,-1.68,Highly risky,1.779243441
Panache Digilife Ltd.,PANACHE,IT - Hardware,17359.75,31-03-2023,747.0,1.54,40.38,2.05,0.76,15.0,2.0,-1.323,Moderately risky,1.921808246
Panama Petrochem Ltd.,PANAMAPET,Petrochemicals,17359.75,31-03-2023,17676.23,29.78,9.81,2.29,1.79,12.0,1.5,1.843833333,Non risky,2.531526582
Parag Milk Foods Ltd.,PARAGMILK,FMCG,17359.75,31-03-2023,8539.09,5.84,12.47,1.03,1.3,30.0,6.0,1.696666667,Non risky,3.920825383
Paramount Communications Ltd.,PARACABLES,Cables,17359.75,31-03-2023,6039.12,2.46,12.64,2.42,1.17,14.5,1.8,-0.140168582,Moderately risky,3.402696625
Patel Engineering Ltd.,PATELENG,Construction,17359.75,31-03-2023,11565.58,0.39,38.26,0.4,1.88,17.0,2.2,-1.273406417,Moderately risky,0.850566514
Patel Integrated Logistics Ltd.,PATINTLOG,Logistics,17359.75,31-03-2023,710.44,0.32,34.16,0.61,1.51,18.0,2.2,-0.653050505,Moderately risky,1.845827815
Pennar Industries Ltd.,PENIND,Steel,17359.75,31-03-2023,9547.45,3.28,21.6,1.29,1.28,15.5,1.9,-0.024495756,Moderately risky,1.57805359
Persistent Systems Ltd.,PERSISTENT,IT - Software,17359.75,31-03-2023,352281.04,103.41,44.58,8.94,0.84,30.0,5.0,9.227,Investment Worthy,6.868905097
Pfizer Ltd.,PFIZER,Pharmaceuticals,17359.75,31-03-2023,158614.25,127.4,27.22,4.95,0.5,25.0,3.5,12.73691429,Investment Worthy,3.181906564
Pidilite Industries Ltd.,PIDILITIND,Chemicals,17359.75,31-03-2023,1196063.41,24.5,96.04,16.83,0.85,20.0,3.5,-5.010571429,Highly risky,6.50896333
Piramal Enterprises Ltd.,PEL,Pharmaceuticals,17359.75,31-03-2023,161897.52,103.24,6.57,0.67,1.77,25.0,3.5,11.09977143,Investment Worthy,0.473111232
Plastiblends India Ltd.,PLASTIBLEN,Chemicals,17359.75,31-03-2023,3924.37,9.63,15.67,0.99,1.17,20.0,3.5,1.726642857,Non risky,2.178499291
Poly Medicure Ltd.,POLYMED,Healthcare,17359.75,31-03-2023,91426.38,18.67,51.01,7.42,0.68,22.0,3.0,-0.604969697,Moderately risky,5.95118543
Polyplex Corporation Ltd.,POLYPLEX,Packaging,17359.75,31-03-2023,35867.46,93.8,12.18,5.17,1.45,17.0,2.3,7.965703325,Investment Worthy,3.862464267
Ponni Sugars (Erode) Ltd.,PONNIERODE,Sugar,17359.75,31-03-2023,3403.25,43.53,9.09,0.75,1.05,12.0,1.2,4.9205,Investment Worthy,1.27622173
Power Mech Projects Ltd.,POWERMECH,Capital Goods-Non Electrical Equipment,17359.75,31-03-2023,36817.21,140.41,17.59,3.0,1.31,17.5,2.5,13.52585714,Investment Worthy,2.532173072
Prakash Industries Ltd.,PRAKASH,Steel,17359.75,31-03-2023,9115.27,10.64,4.79,0.31,1.91,15.5,1.9,1.681809847,Non risky,1.422790372
Precision Camshafts Ltd.,PRECAM,Auto Ancillaries,17359.75,31-03-2023,9042.65,6.56,14.51,1.1,1.41,18.5,2.4,1.003342342,Non risky,2.180044139
Precision Wires India Ltd.,PRECWIRE,Non Ferrous Metals,17359.75,31-03-2023,11443.04,3.26,19.64,2.54,1.39,14.0,1.5,-1.160190476,Moderately risky,5.461924199
Premier Explosives Ltd.,PREMEXPLN,Chemicals,17359.75,31-03-2023,4347.67,6.21,65.08,2.23,1.02,20.0,3.5,-1.290142857,Moderately risky,2.429733993
Prestige Estates Projects Ltd.,PRESTIGE,Realty,17359.75,31-03-2023,161627.42,8.0,50.43,2.43,1.24,12.5,1.5,-3.0944,Highly risky,1.127125322
Pricol Ltd.,PRICOLLTD,Auto Ancillaries,17359.75,31-03-2023,25259.94,8.4,24.68,3.73,1.47,18.5,2.4,-0.518220721,Moderately risky,3.645354516
Prime Securities Ltd.,PRIMESECU,Finance,17359.75,31-03-2023,3585.18,1.94,57.09,3.1,1.11,15.0,1.8,-3.444222222,Highly risky,2.336444346
Procter & Gamble Health Ltd.,PGEL,Consumer Durables,17359.75,31-03-2023,77785.53,144.75,32.37,10.77,0.63,20.0,2.5,10.9185,Investment Worthy,2.793448095
Pudumjee Paper Products Ltd.,PDMJEPAPER,Paper,17359.75,31-03-2023,3508.4,6.2,5.96,0.88,1.24,13.5,1.6,1.388518519,Non risky,1.914295454
Punjab & Sind Bank,PSB,Banks,17359.75,31-03-2023,173850.22,1.14,22.55,1.22,1.44,12.5,1.5,-0.943333333,Moderately risky,0.149004809
Punjab Chemicals & Crop Protection Ltd.,PUNJABCHEM,Chemicals,17359.75,31-03-2023,10150.64,50.81,16.29,3.41,0.88,20.0,3.5,5.412214286,Investment Worthy,2.630887805
